filename,pages,sha256,source_org,source_class,local_authority
memo-medical-stars-27012021.pdf,2,36d71333a1d5c4ef38f7455b2a39242f709a4b707e4917dff840c8950589dea7,Metro North HHS,STARS credentialing memorandum,comparator-only
memo-medical-stars-08022021.pdf,4,a5baf439134e86ddffd02e32b66dfea1cdaf75f07c5813fad01572450b2d3daf,Metro North HHS,STARS credentialing memorandum,comparator-only
memo-medical-stars-27042021.pdf,6,20fa2c7d0d680cc889f7fea9e4bbcaa7a7d4fb08431431dd08209785ebf17981,Metro North HHS,STARS credentialing memorandum,comparator-only
memo-medical-stars-26102021.pdf,8,378539857f866115c981b04d7d2613f50492a96c6cbb79c350ffdc990b724648,Metro North HHS,STARS credentialing memorandum,comparator-only
memo-medical-stars-30112021.pdf,10,d045404a63cc0df269b666ed2a5ca192216e7387320e99274d308bceaf5926ea,Metro North HHS,STARS credentialing memorandum,comparator-only
memo-medical-stars-11032022.pdf,5,1fab118df678b566d56bd02b9641460f96faffdbba5327dc1aa604a6453d4654,Metro North HHS,STARS credentialing memorandum,comparator-only
memo-medical-stars-02112022.pdf,5,f52f15de0444e3ab8194b1e71a9268e4a1e49fb5e0807df2a46dc82173ee9c61,Metro North HHS,STARS credentialing memorandum,comparator-only
memo-medical-stars-20022023.pdf,5,cf240f27ebc6ad7c2cee819544adde80b09a4fc36f035ec14c7fe59c5a8f9e7b,Metro North HHS,STARS credentialing memorandum,comparator-only
memo-cred-mo-socp-lower-gi.pdf,4,ec5616a64cf876cacc8883a04f6ebe15a9f38da34d461c0491d9e187f48847aa,Metro North Health,Lower GI endoscopy SoCP memorandum,comparator-only
memo-medical-stars-27062024.pdf,3,68f19a6aebaa607ee033e7c978a5f6f0b92f71c185e8988927dac2516254abd4,Metro North Health,STARS credentialing memorandum,comparator-only
memo-medical-stars-12082024.pdf,3,3f78d87fe2f02cac6b9caf8e0dc38fa0ee426280945fea08b7d80201fa1c8e40,Metro North Health,STARS credentialing memorandum,comparator-only
